13.7,0.3425,0.3425,500,0,0,11.635676,0.976197,0.976197
17.8,0.979,0.979,500,0,0,11.93402,1.164868,1.164868
21.7,0.5425,0.5425,500,0,0,12.561475,1.00708,1.00708
40.5,1.0125,1.0125,500,0,0,14.648114,1.173357,1.173357
65.4,1.635,1.635,500,0,0,15.911261,1.45716,1.45716
98.1,2.4525,2.4525,500,0,0,18.140809,1.430883,1.430883
117.8,2.945,2.945,500,0,0,19.962082,1.557121,1.557121
#Regenfus et al. 2012
119.34,10.92,10.77,0,0,0,17.787202,2.85561,2.85561
60.339,9.113,9.9,0,0,0,16.810096,2.145177,2.145177
43.212,8.014,8.643,0,0,0,17.474019,2.229994,2.229994
28.363,6.836,7.306,0,0,0,16.253394,2.37843,2.37843
16.185,5.264,5.735,0,0,0,19.090212,2.915768,2.915768
#WARP 2005
64.896,0,0,0,0,0,16.900356,2.093932,2.093932
#SCENE 2013
10.8,0,0,1000,0,0,16.837931,3.531226,4.305959
10.8,0,0,300,0,0,19.290043,4.058572,4.943779
10.8,0,0,100,0,0,21.796298,4.587434,5.587374
15.2,0,0,1000,0,0,10.067487,0.956142,0.590517
15.2,0,0,300,0,0,12.085414,1.14457,0.703651
15.2,0,0,100,0,0,13.740816,1.303472,0.803486
15.2,0,0,50,0,0,13.693618,1.305975,0.812
20.8,0,0,1000,0,0,11.556171,0.97753,0.457582
20.8,0,0,300,0,0,13.086064,1.10617,0.516507
20.8,0,0,200,0,0,13.871639,1.174734,0.552122
20.8,0,0,100,0,0,14.668423,1.241645,0.582633
20.8,0,0,50,0,0,14.414307,1.29147,0.607738
20.8,0,0,20,0,0,14.777601,1.323721,0.622419
29,0,0,1000,0,0,12.386042,1.067286,0.530656
29,0,0,300,0,0,14.295844,1.257651,0.662841
29,0,0,100,0,0,16.019495,1.407156,0.738711
29,0,0,50,0,0,16.385718,1.400652,0.679043
49.9,0,0,1000,0,0,15.20123,1.307039,0.645355
49.9,0,0,300,0,0,16.500229,1.423935,0.710987
49.9,0,0,100,0,0,17.370341,1.496133,0.742672
